time,low,high,open,close,volume
1519462800,10008.31,10160.0,10032.14,10053.11,468.8703187999978
1519466400,9701.02,10053.12,10053.12,9762.99,1462.823974249986
1519470000,9680.84,9861.07,9762.98,9804.33,634.5393639399961
1519473600,9696.63,9925.0,9804.33,9865.01,617.0533897799961
1519477200,9636.87,9900.0,9865.01,9682.51,983.4341996000026
1519480800,9650.0,9920.0,9675.86,9782.12,978.7147664299865
1519484400,9746.33,9869.99,9782.12,9755.7,626.9497085099956
1519488000,9657.42,9837.43,9755.69,9800.0,777.9204724199934
1519491600,9660.0,9800.0,9800.0,9660.01,653.3942784699979
1519495200,9581.77,9734.04,9660.0,9581.77,735.0515502999966
1519498800,9563.0,9687.94,9581.77,9594.0,787.5340089499939
1519502400,9372.72,9594.0,9594.0,9403.99,1873.2000160099876
1519506000,9404.0,9538.99,9404.0,9505.33,757.5003351299952
1519509600,9483.54,9713.34,9508.01,9618.42,805.9182217099913
1519513200,9618.43,9724.94,9618.43,9688.62,528.7928813199961
1519516800,9563.73,9688.61,9688.61,9637.01,424.8381014499966
1519520400,9637.0,9777.0,9637.0,9760.0,491.5288283499977
1519524000,9605.1,9765.0,9760.0,9625.11,431.60382736999617
1519527600,9505.17,9625.12,9625.11,9576.52,511.8698930699968
1519531200,9550.01,9752.61,9576.19,9714.46,573.2434764999948
1519534800,9605.58,9744.0,9710.14,9722.0,402.452588729999
1519538400,9722.0,9850.0,9722.0,9782.95,586.875012579995
1519542000,9717.5,9839.99,9782.94,9743.02,348.79329555999874
1519545600,9605.0,9784.68,9743.02,9620.13,401.0019242699981
1519549200,9528.9,9656.73,9619.49,9596.51,276.559509489999
1519552800,9574.5,9691.28,9596.52,9654.21,128.66254679000022
1519556400,9618.87,9722.0,9654.22,9659.41,159.71167928000017
1519560000,9513.0,9692.35,9659.42,9525.0,215.05292076000018
1519563600,9420.11,9700.0,9525.01,9507.44,880.8711530499976
1519567200,9402.0,9532.1,9507.43,9402.0,477.47950600999656
1519570800,9324.75,9472.29,9402.01,9415.6,907.095597469995
1519574400,9390.6,9460.0,9414.04,9419.99,604.5527757099981
1519578000,9370.0,9445.0,9419.99,9381.94,441.6530480999971
1519581600,9332.0,9465.0,9381.94,9456.29,795.4494395799969
1519585200,9408.35,9530.0,9456.3,9485.01,482.4594007099988
1519588800,9482.8,9615.0,9485.01,9590.01,530.9679608999977
1519592400,9537.14,9630.04,9590.01,9591.15,551.9921987999945
1519596000,9530.01,9680.0,9591.16,9661.0,611.6787434599979
1519599600,9564.98,9661.01,9661.0,9597.99,470.76724299999916
1519603200,9547.0,9628.0,9600.0,9593.0,337.47083505999905
1519606800,9592.99,9733.0,9593.0,9726.34,792.0602595299937
1519610400,9675.88,9779.49,9726.34,9740.0,715.0925260899969
1519614000,9590.0,9740.0,9740.0,9633.03,532.055256489993
1519617600,9575.01,9679.56,9633.03,9675.79,480.9891229799965
1519621200,9578.9,9685.0,9675.83,9624.71,282.78489415999985
1519624800,9430.0,9643.06,9624.71,9430.74,447.0824580799955
1519628400,9428.0,9499.96,9430.75,9497.94,258.99190898000035
1519632000,9404.0,9497.94,9497.94,9457.01,304.2850402399991
1519635600,9454.79,9530.0,9457.01,9488.61,219.29893767000044
1519639200,9483.18,9722.66,9488.54,9699.82,437.1517815499983
1519642800,9672.08,9759.0,9699.83,9744.0,386.401073179998
1519646400,9654.19,9912.0,9744.0,9896.03,731.9573145499935
1519650000,9896.03,10227.13,9896.04,10124.98,2583.9122217600493
1519653600,10117.82,10350.0,10124.99,10200.0,1807.2709164099754
1519657200,10144.0,10247.95,10200.0,10221.0,832.508716229994
1519660800,10168.0,10369.0,10220.99,10179.78,1614.0422507499793
1519664400,10108.36,10195.07,10179.77,10189.72,1144.2271934199932
1519668000,10178.11,10250.0,10189.71,10225.0,700.7059052299975
1519671600,10202.2,10279.8,10225.0,10220.02,704.4575139499987
1519675200,10167.56,10260.0,10220.15,10260.0,715.1647941999959
1519678800,10250.02,10447.74,10260.0,10375.17,1877.132708499977
1519682400,10316.48,10399.0,10375.18,10351.0,536.4353364799954
1519686000,10250.0,10364.48,10351.01,10300.0,677.300860469995
1519689600,10284.12,10390.0,10300.0,10354.0,764.6891244699959
1519693200,10137.13,10355.01,10354.0,10186.58,1334.2496252099882
1519696800,10133.33,10224.01,10186.57,10157.4,585.163224279994
